gene,yao1,yao2,yao5,R,maxI
AP2A1,-0.14904340065523017,0.041581897052888755,0.07198685726179387,1,0.07198685726179387
ATF5,0.05019425404729206,0.20810885939667478,0.2691499239072133,1,0.2691499239072133
SIGLEC11,0.009673225224662995,0.08352458392349872,0.13299377258622933,1,0.13299377258622933
MYH14,0.181992463079558,0.18284968910664046,0.30170589445162066,1,0.30170589445162066
ASPDH,-0.008045127572270277,0.12751215189184922,0.3776769635754335,1,0.3776769635754335
KLK2,-0.005279522842890406,-0.0012481733411963511,0.0047831796189490945,1,0.0047831796189490945
KLK5,-0.004620875503915804,0.1501705966736721,0.15278396194685637,1,0.15278396194685637
SIGLEC7,0.008630903132066317,0.010132732352534073,0.1189534038691438,1,0.1189534038691438
CD33,0.003029291568704166,0.011988890175045076,0.0676856080336148,1,0.0676856080336148
NKG7,0.014805075465407542,0.016519087925678366,0.03674092166148202,1,0.03674092166148202
SIGLEC10,-0.003045922951434702,0.0075400222931510845,0.07822269263252456,1,0.07822269263252456
OSCAR,-0.014728471962422532,-0.0029220806752819563,8.796594575595745e-4,1,8.796594575595745e-4
LILRA6,-0.001429186237547075,8.662888447238523e-4,0.012633724627131752,1,0.012633724627131752
LILRB5,0.00479539453709162,0.004833305830570244,0.13830762113024458,1,0.13830762113024458
LILRB2,-0.005813452425494508,0.01901920359682492,0.079266872037414,1,0.079266872037414
EPS8L1,0.05243415303251256,0.20659379033392472,0.22181503642482928,1,0.22181503642482928
DNAAF3,0.09379695312754584,0.09505889742375151,0.23051134364148212,1,0.23051134364148212
SYT5,0.07253239560593623,0.16177069376135653,0.4475401913026287,1,0.4475401913026287
SHISA7,0.05417738090099128,0.11909371158160567,0.154174909513371,1,0.154174909513371
C19orf85,-0.008103125766867357,-7.674621302787713e-4,0.01594211197268193,1,0.01594211197268193
FIZ1,0.024127839829863926,0.024530879792310407,0.037058138177296654,1,0.037058138177296654
ZNF784,0.004393545644235359,0.010169060414789722,0.020955707161819034,1,0.020955707161819034
