gene,yao1,yao2,yao5,R,maxI
SLC38A5,0.2488885358232175,0.2800278519921724,0.30659451205485655,1,0.30659451205485655
PCSK1N,0.1497219977421348,0.29383617858860417,0.4721927078860575,1,0.4721927078860575
SYP,0.09575827836595252,0.3378913267640935,0.4327195237493008,1,0.4327195237493008
CACNA1F,-0.013851862788087355,-0.0014365582848355348,0.0027988228491462167,1,0.0027988228491462167
CCNB3,-0.002397670505451382,-0.001580110232302832,0.01853478305074904,1,0.01853478305074904
GPR173,0.09054814911854812,0.139795496636957,0.17336730248950175,1,0.17336730248950175
KANTR,-0.024017176058862638,-5.719518649576934e-4,0.013628838102333793,1,0.013628838102333793
PFKFB1,-0.024540144287772722,0.024747001740985364,0.3434935800493566,1,0.3434935800493566
RRAGB,0.011583830782117338,0.013439729433278891,0.01974833987465176,1,0.01974833987465176
ZXDA,-0.007376885952695564,-0.0014116827135312315,-3.2312140672153975e-4,1,-3.2312140672153975e-4
AWAT2,-0.007777468616088562,-0.001947199447581915,-6.950480204971345e-4,1,-6.950480204971345e-4
TEX11,-0.004082595129397627,0.11410762051597814,0.11522385388125579,1,0.11522385388125579
IL2RG,-0.0028949645519290614,0.0011142014661750324,0.08678713980360643,1,0.08678713980360643
GJB1,0.18130845763377476,0.3926665241799141,0.6709859567296261,1,0.6709859567296261
HDAC8,0.030007538962116737,0.03265536357341151,0.036422818412789326,1,0.036422818412789326
NEXMIF,0.039002655575599135,0.08688988883538348,0.18217484968509837,1,0.18217484968509837
COX7B,0.030900060945154885,0.08981488817237468,0.12467491280256232,1,0.12467491280256232
TBX22,-0.016844716718406223,0.06158035083135539,0.4396998174819606,1,0.4396998174819606
POU3F4,0.4068645860304732,0.4922237113478875,0.5001074906547137,1,0.5001074906547137
DACH2,0.19481855002216375,0.22802476791517728,0.31577070178070654,1,0.31577070178070654
PCDH11X,0.020689046896754933,0.03211845559285898,0.048741695025031485,1,0.048741695025031485
SRPX2,0.03798647043521141,0.13814546157019192,0.23344101361450095,1,0.23344101361450095
SYTL4,0.05049471723382181,0.11595490109097062,0.11924957864608211,1,0.11924957864608211
TMEM35A,0.1194412574284655,0.20739697933448473,0.2185844412140148,1,0.2185844412140148
DRP2,0.004222657354939719,0.036399560297782185,0.060695274887288674,1,0.060695274887288674
NXF5,-9.322271490139982e-4,1.5128220842552058e-4,0.004049020081931882,1,0.004049020081931882
TCEAL6,-0.007018948437688453,5.015299832760848e-4,0.004626283285205243,1,0.004626283285205243
NXF3,-0.014279494540782048,0.031189516287084385,0.1429151739103167,1,0.1429151739103167
TCEAL8,0.15755392659955492,0.16190111106992627,0.28909428596117054,1,0.28909428596117054
BEX2,-0.005034965569966158,0.00963106309849196,0.018819979038768392,1,0.018819979038768392
RAB40A,-0.008267854785639319,0.0029926037831432897,0.0033234819338992805,1,0.0033234819338992805
GLRA4,-0.019407340726492146,-6.365077919186023e-5,0.009265364899512239,1,0.009265364899512239
IL1RAPL2,0.021370807628873657,0.03691551839033919,0.07427382975948885,1,0.07427382975948885
NRK,0.39730058459995765,0.4167445336164407,0.5322302505511363,1,0.5322302505511363
SERPINA7,0.11618495817578373,0.37935772379002825,0.617056121251915,1,0.617056121251915
RNF128,0.2625388541908151,0.4115133251200946,0.6654283098602481,1,0.6654283098602481
TBC1D8B,0.02448963527639625,0.05926939541795597,0.07029686904926088,1,0.07029686904926088
CLDN2,0.01357232547847096,0.01576498687215996,0.11125305794263682,1,0.11125305794263682
GUCY2F,-0.004480215661293904,-0.0017344587142382542,0.012992561366559815,1,0.012992561366559815
ACSL4,0.29312988822532726,0.31493520345598147,0.6649692174341899,1,0.6649692174341899
AMMECR1,0.017827964395323498,0.041874069923687585,0.05107288619065566,1,0.05107288619065566
PAK3,0.18244782848646476,0.26055278636324314,0.29557904721346506,1,0.29557904721346506
CAPN6,0.27458655464019827,0.3219526502488626,0.4877850598176054,1,0.4877850598176054
TRPC5,0.015894897527291504,0.05283357765439746,0.09092643723247293,1,0.09092643723247293
RTL4,-0.010060576564740412,0.023863076978216987,0.04916528157266883,1,0.04916528157266883
AMOT,0.3301524557319103,0.3940314349426174,0.5221648005923553,1,0.5221648005923553
KLHL13,0.11854242202190683,0.12056805791856097,0.13733273870214457,1,0.13733273870214457
ZCCHC12,0.12052658415786552,0.16666845053543783,0.2654651080404691,1,0.2654651080404691
CXorf56,-0.1166415575821167,0.02609068430518588,0.04835596919721801,1,0.04835596919721801
AKAP14,-0.007576042262761276,0.0035691092289038668,0.36841421454700635,1,0.36841421454700635
TENM1,0.11444759882424561,0.28769067232194784,0.3212744116723515,1,0.3212744116723515
APLN,0.017318448580460763,0.022907724244691938,0.10869640299480249,1,0.10869640299480249
XPNPEP2,0.024105870138161633,0.06409868314953317,0.25871651561681425,1,0.25871651561681425
RAB33A,0.10953240936569304,0.18867385099748335,0.22653198683958525,1,0.22653198683958525
SLC25A14,-0.005149258285646926,0.007048359624326651,0.013510353585749289,1,0.013510353585749289
IGSF1,0.2107206141129793,0.42475962288762775,0.6760655777631508,1,0.6760655777631508
GPC3,0.3877697538761781,0.5715567861907466,0.633542571960485,1,0.633542571960485
SMIM10,0.010452244965996279,0.05365998662284758,0.07346357941011343,1,0.07346357941011343
CT55,-0.015618059137417942,-0.005288047182308352,-0.0012608734101083278,1,-0.0012608734101083278
ZIC3,0.22782627382092946,0.3021781179815522,0.49479522057643605,1,0.49479522057643605
F9,-0.005572709007997209,0.0018143396989251167,0.216986791965162,1,0.216986791965162
MAGEC3,-0.01656753156191372,0.007577918313238646,0.010849536067192913,1,0.010849536067192913
AFF2,0.27581052816228707,0.36327491649310506,0.4123645120405494,1,0.4123645120405494
GABRA3,0.009388385745409065,0.025752236925773962,0.0808994466249238,1,0.0808994466249238
PNMA5,-0.00875273415853349,-0.001756295696564241,0.013188389420730317,1,0.013188389420730317
PNMA3,0.11076614064049378,0.17051233928690612,0.26902211402342574,1,0.26902211402342574
ATP2B3,0.002586196549010603,0.0049296670437333455,0.2676752892527109,1,0.2676752892527109
DUSP9,0.37213968351305926,0.432450086827955,0.6969356773147203,1,0.6969356773147203
PDZD4,0.3616494391787838,0.3672097674731997,0.40896006673342133,1,0.40896006673342133
L1CAM,0.2731019408342872,0.42540454125319627,0.47547727147521696,1,0.47547727147521696
RAB39B,0.17549607017645413,0.21816025952835788,0.27851014368329147,1,0.27851014368329147
CLIC2,-0.006626163309588511,-0.0023945307742302274,0.06126214411880879,1,0.06126214411880879
SPRY3,0.0014856640218689637,0.006385869218590244,0.01562428407477286,1,0.01562428407477286
MXRA8,0.29497186404172354,0.41696322305081696,0.38814632282861394,0.5,0.41696322305081696
CCNL2,0.07445550161695585,0.24233575519504222,0.2087682861031877,0.5,0.24233575519504222
TMEM88B,-0.005969415946333542,0.011216319194183826,0.0011332214099140634,0.5,0.011216319194183826
TMEM240,0.07052298317790097,0.06960889293353127,0.1357923837086353,0.5,0.1357923837086353
TMEM52,0.022206227989092723,0.0622207175948482,0.03789438680176085,0.5,0.0622207175948482
CFAP74,0.0813499040527525,0.03711255178677085,0.3461907889354986,0.5,0.3461907889354986
MEGF6,0.2649956712229867,0.18439189468165054,0.4615325987213068,0.5,0.4615325987213068
TPRG1L,0.07169851889012964,0.0810517009896376,0.07625543731631723,0.5,0.0810517009896376
TP73,0.06772176111995129,0.046483523525953134,0.12373440690883404,0.5,0.12373440690883404
SMIM1,0.10308683273707103,0.09914360836429001,0.17972598713997184,0.5,0.17972598713997184
C1orf174,-0.0032417522253472826,0.13028744756960212,0.06802147906319995,0.5,0.13028744756960212
AJAP1,0.3173105112281972,0.22715772148551794,0.3354929666108606,0.5,0.3354929666108606
KCNAB2,0.030925442849796436,0.023451939141573737,0.053129693005788146,0.5,0.053129693005788146
TNFRSF25,0.21466986768407853,0.1516072953028207,0.2703909003921589,0.5,0.2703909003921589
